Contig name	Size (bp)	Coverage	GC %	Taxonomy winner	Winner %	Species winner	Species winner %	Genus winner	Genus winner %	Order winner	Order winner %	Class winner	Class winner %	Phylum winner	Phylum winner %	Domain winner	Domain winner %
N1_003_000G1_scaffold_8000	1569	9.08	51.5	Clostridium hathewayi CAG:224	1.0	Clostridium hathewayi CAG:224	1.0	Clostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8001	1569	5.74	43.98	Streptococcus parasanguinis	1.0	Streptococcus parasanguinis	1.0	Streptococcus	1.0	Lactobacillales	1.0	Bacilli	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8002	1568	6.98	26.53	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8003	1568	8.8	35.33	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8004	1567	142.44	41.03	Macaca mulatta	0.5	Macaca mulatta	0.5	Macaca	0.5	Primates	0.5	Mammalia	0.5	Chordata	0.5	Metazoa	0.5
N1_003_000G1_scaffold_8005	1567	9.48	58.46	Enterobacter sp. MGH 14	0.5	Enterobacter sp. MGH 14	0.5	Enterobacter	0.5	Enterobacteriales	1.0	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8006	1567	7.18	27.25	Peptoclostridium difficile	1.0	Peptoclostridium difficile	1.0	Peptoclostridium	1.0	Clostridiales	1.0	Clostridia	1.0	Firmicutes	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8007	1567	11.1	52.71	Atopobium minutum	1.0	Atopobium minutum	1.0	Atopobium	1.0	Coriobacteriales	1.0	Coriobacteriia	1.0	Actinobacteria	1.0	Bacteria	1.0
N1_003_000G1_scaffold_8008	1567	12.83	52.01			unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0	unknown	1.0
N1_003_000G1_scaffold_8009	1567	416.88	43.97	Shewanella baltica	0.5	Shewanella baltica	0.5	Shewanella	0.5	Alteromonadales	0.5	Gammaproteobacteria	1.0	Proteobacteria	1.0	Bacteria	1.0
